Cassiopeia,x (Light Years),y (Light Years),z (Light Years),Log10(Lum),RGBColor,RADeg,DecDeg,R Light years,Mag,RGBColor,RAH,RAM,RAS,DecD,DecM,DecS,Mag,B-V,Type,RGBColor
Caph,28.04,-1.12,47.00,2.58,F1F1FF,2.30,59.15,54.74,2.25,F1F1FF,0,9,10.93,59,9,12,2.25,0.38,F2III,F1F1FF
Shedir,123.89,-22.13,190.41,3.91,FFE3BE,10.13,56.54,228.24,2.02,FFE3BE,0,40,30.55,56,32,14.5,2.02,1.17,K0IIIa,FFE3BE
Navi,260.39,-65.78,478.91,4.62,9DB4FF,14.18,60.72,549.08,2.15,9DB4FF,0,56,42.57,60,43,0.7,2.15,-0.06,B0.5IVe,9DB4FF
Rucbah,45.92,-18.05,86.29,2.93,D4DCFF,21.45,60.24,99.40,2.65,D4DCFF,1,25,49.15,60,14,12.6,2.65,0.16,A5IV,D4DCFF
epsCas,159.35,-88.16,369.34,3.89,A5B9FF,28.95,63.75,411.80,3.35,A5B9FF,1,55,48.43,63,45,12.9,3.35,-0.15,B3V,A5B9FF
Achird,10.11,-2.20,16.44,0.74,FFF7FV,12.29,57.82,19.42,4.58,FFF7FV,0,49,8.4,57,48,56.5,4.58,0.54,F9V,FFF7FV
Marfak,72.68,-23.30,109.61,2.53,C8D5FF,17.78,55.15,133.56,4.3,C8D5FF,1,11,6.46,55,9,0.7,4.3,0.16,A7V,C8D5FF
