Big Dipper,x (Light Years),y (Light Years),z (Light Years),Log10(Lum),RGBColor,RADeg,DecDeg,R LightYears,Mag,RGBColor,RAH,RAM,RAS,DecD,DecM,DecS,Mag,B-V,Type,RGBColor
Alkaid,-60.44,30.64,78.82,3.29,A4B8FF,206.88,49.31,103.94,1.85,A4B8FF,13,47,32.21,49,18,47,1.85,-0.09,B4V,A4B8FF
Mizar,-41.94,16.08,63.97,2.91,B5C7FF,200.98,54.93,78.16,2.2,B5C7FF,13,23,55.83,54,55,31.5,2.2,0.07,A1V,B5C7FF
Alcor,-43.68,17.04,66.93,2.24,C7D4FF,201.31,54.99,81.72,3.95,C7D4FF,13,25,13.82,54,59,16.9,3.95,0.16,A6V,C7D4FF
Alioth,-44.93,10.79,68.40,3.13,BECDFF,193.51,55.96,82.55,1.75,BECDFF,12,54,2.01,55,57,35.9,1.75,-0.03,A1IV,BECDFF
Megrez,-43.71,2.95,67.55,2.49,BBCBFF,183.86,57.03,80.51,3.3,BBCBFF,12,15,25.68,57,1,58.4,3.3,0.07,A2V,BBCBFF
Phad,-49.23,-1.32,67.03,2.88,B5C7FF,178.46,53.69,83.18,2.4,B5C7FF,11,53,50.07,53,41,41.4,2.4,0.04,A1V,B5C7FF
Merak,-42.73,-11.08,66.40,2.88,BECDFF,165.46,56.38,79.74,2.3,BECDFF,11,1,50.7,56,22,56.9,2.3,0.04,A1IV,BECDFF
Dubhe,-56.76,-14.23,108.92,3.38,FFE7C7,165.93,61.75,123.64,2,FFE7C7,11,3,43.43,61,45,6.2,2,0.6,G8III,FFE7C7
